ParticipantID,ParticipantSex,ParticipantAge,ParticipantLTR,PartnerNumber,AgeSex,ParticipantLifetimeSexPartners,PastYearSexPartners,PastMonthSex,MEQ1,MEQ2,MEQ3,MEQ4,MEQ5,MEQ6,MEQ7,MEQ8,MEQ9,MEQ10,MEQ11,MEQ12
343,0,62,0,10,18,4,1,4,2,2,1,5,1,2,2,2,4,2,4,2
344,0,30,0,2,18,3,1,1,5,3,5,5,3,3,4,5,4,3,3,5
345,0,27,0,2,22,2,1,1,5,6,3,3,5,6,4,3,5,4,6,5
346,0,53,0,10,17,4,1,1,5,5,5,4,7,6,2,6,5,2,4,6
347,0,32,0,5,20,5,1,1,4,4,5,3,5,4,5,5,4,5,2,5
348,0,47,0,1,27,1,1,1,5,4,3,4,3,2,2,2,5,2,6,2
349,0,32,0,1,31,1,1,2,4,5,5,5,4,4,5,6,6,5,5,5
350,0,26,0,1,25,1,1,1,4,4,5,6,5,5,4,5,5,5,5,5
351,0,30,0,1,16,2,2,2,5,4,4,5,5,3,5,6,6,5,5,5
352,0,33,0,4,16,2,1,10,6,7,5,4,6,7,4,7,4,6,7,5
353,0,34,0,6,16,6,1,15,1,6,1,5,4,5,3,6,6,3,7,5
354,0,26,1,10,13,30,10,5,1,1,1,7,1,1,5,1,7,6,7,1
356,0,37,0,3,21,4,4,1,5,6,5,4,6,5,4,5,6,5,6,4
